,From,To
521,DPEP1_HUMAN,DPEP1
522,DPEP2_HUMAN,DPEP2
523,DPEP3_HUMAN,DPEP3
524,DPP10_HUMAN,DPP10
525,DPP4_HUMAN,DPP4
526,DPP6_HUMAN,DPP6
527,DQA1_HUMAN,HLA-DQA1
528,DQA2_HUMAN,HLA-DQA2
529,DQB1_HUMAN,HLA-DQB1
530,DQB2_HUMAN,HLA-DQB2
531,DRA_HUMAN,HLA-DRA
532,DRB3_HUMAN,HLA-DRB3
533,DRB4_HUMAN,HLA-DRB4
534,DRB5_HUMAN,HLA-DRB5
535,DRD1_HUMAN,DRD1
536,DRD2_HUMAN,DRD2
537,DRD3_HUMAN,DRD3
538,DRD4_HUMAN,DRD4
539,DRD5_HUMAN,DRD5
540,DSC1_HUMAN,DSC1
541,DSC2_HUMAN,DSC2
542,DSC3_HUMAN,DSC3
543,DSCAM_HUMAN,DSCAM
544,DSCL1_HUMAN,DSCAML1
545,DSG1_HUMAN,DSG1
546,DSG2_HUMAN,DSG2
547,DSG3_HUMAN,DSG3
548,DSG4_HUMAN,DSG4
549,DUOX1_HUMAN,DUOX1
550,DUOX2_HUMAN,DUOX2
551,DYNAP_HUMAN,DYNAP
552,EAA1_HUMAN,SLC1A3
553,EAA2_HUMAN,SLC1A2
554,EAA3_HUMAN,SLC1A1
555,EAA4_HUMAN,SLC1A6
556,EAA5_HUMAN,SLC1A7
557,EBP_HUMAN,EBP
558,ECE1_HUMAN,ECE1
559,ECSCR_HUMAN,ECSCR
560,EDAR_HUMAN,EDAR
561,EDA_HUMAN,EDA
562,EDNRA_HUMAN,EDNRA
563,EDNRB_HUMAN,EDNRB
564,EFC1_HUMAN,ERVFC1
565,EFNA1_HUMAN,EFNA1
566,EFNA2_HUMAN,EFNA2
567,EFNA3_HUMAN,EFNA3
568,EFNA4_HUMAN,EFNA4
569,EFNA5_HUMAN,EFNA5
570,EFNB1_HUMAN,EFNB1
571,EFNB2_HUMAN,EFNB2
572,EFNB3_HUMAN,EFNB3
573,EGFR_HUMAN,EGFR
574,EGF_HUMAN,EGF
575,EGLN_HUMAN,ENG
576,ELFN1_HUMAN,ELFN1
577,EMB_HUMAN,EMB
578,EMP1_HUMAN,EMP1
579,EMP2_HUMAN,EMP2
580,EMP3_HUMAN,EMP3
581,EN113_HUMAN,HERVK_113
582,ENK13_HUMAN,ERVK13-1
583,ENK18_HUMAN,ERVK-18
584,ENK19_HUMAN,ERVK-19
585,ENK21_HUMAN,ERVK-21
586,ENK24_HUMAN,ERVK-24
587,ENK25_HUMAN,ERVK-25
588,ENK6_HUMAN,ERVK-6
589,ENK7_HUMAN,ERVK-7
590,ENK8_HUMAN,ERVK-8
591,ENK9_HUMAN,ERVK-9
592,ENPP1_HUMAN,ENPP1
593,ENPP4_HUMAN,ENPP4
594,ENPP5_HUMAN,ENPP5
595,ENPP6_HUMAN,ENPP6
596,ENTK_HUMAN,TMPRSS15
597,ENTP1_HUMAN,ENTPD1
598,ENTP3_HUMAN,ENTPD3
599,ENVT1_HUMAN,ERVS71-1
600,EPCAM_HUMAN,EPCAM
601,EPCR_HUMAN,PROCR
602,EPGN_HUMAN,EPGN
603,EPHA1_HUMAN,EPHA1
604,EPHA2_HUMAN,EPHA2
605,EPHA3_HUMAN,EPHA3
606,EPHA4_HUMAN,EPHA4
607,EPHA5_HUMAN,EPHA5
608,EPHA6_HUMAN,EPHA6
609,EPHA7_HUMAN,EPHA7
610,EPHA8_HUMAN,EPHA8
611,EPHAA_HUMAN,EPHA10
612,EPHB1_HUMAN,EPHB1
613,EPHB2_HUMAN,EPHB2
614,EPHB3_HUMAN,EPHB3
615,EPHB4_HUMAN,EPHB4
616,EPHB6_HUMAN,EPHB6
617,EPOR_HUMAN,EPOR
618,EQTN_HUMAN,EQTN
619,ERB1_HUMAN,ERVPABLB-1
620,ERBB2_HUMAN,ERBB2
621,ERBB3_HUMAN,ERBB3
622,ERBB4_HUMAN,ERBB4
623,EREG_HUMAN,EREG
624,ERMAP_HUMAN,ERMAP
625,ERMP1_HUMAN,ERMP1
626,ERVV1_HUMAN,ERVV-1
627,ERVV2_HUMAN,ERVV-2
628,ESAM_HUMAN,ESAM
629,ESYT3_HUMAN,ESYT3
630,EVA1C_HUMAN,EVA1C
631,EVI2A_HUMAN,EVI2A
632,EVI2B_HUMAN,EVI2B
633,F1711_HUMAN,FAM171A1
634,F1712_HUMAN,FAM171A2
635,F171B_HUMAN,FAM171B
636,F174A_HUMAN,FAM174A
637,F174B_HUMAN,FAM174B
638,F187B_HUMAN,FAM187B
639,F189B_HUMAN,FAM189B
640,FAT1_HUMAN,FAT1
641,FAT2_HUMAN,FAT2
642,FAT3_HUMAN,FAT3
643,FAT4_HUMAN,FAT4
644,FCAMR_HUMAN,FCAMR
645,FCAR_HUMAN,FCAR
646,FCERA_HUMAN,FCER1A
647,FCG2A_HUMAN,FCGR2A
648,FCG2B_HUMAN,FCGR2B
649,FCG2C_HUMAN,FCGR2C
650,FCG3A_HUMAN,FCGR3A
651,FCG3B_HUMAN,FCGR3B
652,FCGR1_HUMAN,FCGR1A
653,FCGRB_HUMAN,FCGR1BP
654,FCGRN_HUMAN,FCGRT
655,FCRL1_HUMAN,FCRL1
656,FCRL2_HUMAN,FCRL2
657,FCRL3_HUMAN,FCRL3
658,FCRL4_HUMAN,FCRL4
659,FCRL5_HUMAN,FCRL5
660,FCRL6_HUMAN,FCRL6
661,FFAR1_HUMAN,FFAR1
662,FFAR2_HUMAN,FFAR2
663,FFAR3_HUMAN,FFAR3
664,FFAR4_HUMAN,FFAR4
665,FGFR1_HUMAN,FGFR1
666,FGFR2_HUMAN,FGFR2
667,FGFR3_HUMAN,FGFR3
668,FGFR4_HUMAN,FGFR4
669,FGRL1_HUMAN,FGFRL1
670,FKRP_HUMAN,FKRP
671,FLRT1_HUMAN,FLRT1
672,FLRT2_HUMAN,FLRT2
673,FLRT3_HUMAN,FLRT3
674,FLT3L_HUMAN,FLT3LG
675,FLT3_HUMAN,FLT3
676,FLVC1_HUMAN,FLVCR1
677,FLVC2_HUMAN,FLVCR2
678,FNDC4_HUMAN,FNDC4
679,FNDC5_HUMAN,FNDC5
680,FNDC9_HUMAN,FNDC9
681,FOLH1_HUMAN,FOLH1
682,FOLR1_HUMAN,FOLR1
683,FOLR2_HUMAN,FOLR2
684,FPR1_HUMAN,FPR1
685,FPR2_HUMAN,FPR2
686,FPR3_HUMAN,FPR3
687,FPRP_HUMAN,PTGFRN
688,FRAS1_HUMAN,FRAS1
689,FREM2_HUMAN,FREM2
690,FRRS1_HUMAN,FRRS1
691,FSHR_HUMAN,FSHR
692,FURIN_HUMAN,FURIN
693,FZD10_HUMAN,FZD10
694,FZD1_HUMAN,FZD1
695,FZD2_HUMAN,FZD2
696,FZD3_HUMAN,FZD3
697,FZD4_HUMAN,FZD4
698,FZD5_HUMAN,FZD5
699,FZD6_HUMAN,FZD6
700,FZD7_HUMAN,FZD7
701,FZD8_HUMAN,FZD8
702,FZD9_HUMAN,FZD9
703,G137A_HUMAN,GPR137
704,G137B_HUMAN,GPR137B
705,G137C_HUMAN,GPR137C
706,G32P1_HUMAN,GPR32P1
707,G6B_HUMAN,MPIG6B
708,G6PT1_HUMAN,SLC37A4
709,GABR1_HUMAN,GABBR1
710,GABR2_HUMAN,GABBR2
711,GALR1_HUMAN,GALR1
712,GALR2_HUMAN,GALR2
713,GALR3_HUMAN,GALR3
714,GAS1_HUMAN,GAS1
715,GASR_HUMAN,CCKBR
716,GBRA1_HUMAN,GABRA1
717,GBRA2_HUMAN,GABRA2
718,GBRA3_HUMAN,GABRA3
719,GBRA4_HUMAN,GABRA4
720,GBRA5_HUMAN,GABRA5
721,GBRA6_HUMAN,GABRA6
722,GBRB1_HUMAN,GABRB1
723,GBRB2_HUMAN,GABRB2
724,GBRB3_HUMAN,GABRB3
725,GBRD_HUMAN,GABRD
726,GBRE_HUMAN,GABRE
727,GBRG1_HUMAN,GABRG1
728,GBRG2_HUMAN,GABRG2
